player,team,shots,goals,xg,passes,assists,yellow_cards,red_cards
Kylian Mbappé Lottin,France,32,9,5.016751877,233,2,0,0
Lionel Andrés Messi Cuccittini,Argentina,34,9,7.598649225,371,3,0,0
Olivier Giroud,France,17,4,3.0359552720000003,75,0,0,0
Julián Álvarez,Argentina,11,4,1.908327433,124,0,0,0
Cody Mathès Gakpo,Netherlands,5,3,0.5623670310000001,154,0,0,0
Bukayo Saka,England,7,3,0.579455465,111,0,0,0
Richarlison de Andrade,Brazil,8,3,1.617659122,54,0,0,0
Marcus Rashford,England,11,3,1.382585795,67,0,0,0
Álvaro Borja Morata Martín,Spain,8,3,1.109480678,40,1,0,0
Enner Remberto Valencia Lastra,Ecuador,9,3,1.924592276,51,0,0,0
Gonçalo Matias Ramos,Portugal,7,3,1.671089706,30,1,0,0
Wout Weghorst,Netherlands,3,3,1.050509997,16,0,0,0
Youssef En-Nesyri,Morocco,11,2,1.045874203,76,0,0,0
Robert Lewandowski,Poland,12,2,3.125917802,91,1,0,0
Ritsu Doan,Japan,4,2,0.577215802,57,0,0,0
Takuma Asano,Japan,9,2,1.279548737,29,0,0,0
Aleksandar Mitrović,Serbia,10,2,1.501642214,67,0,0,0
Mehdi Taremi,Iran,6,2,1.37814372,82,1,0,0
Mislav Oršić,Croatia,10,2,1.0595709986,55,2,0,0
Kai Havertz,Germany,5,2,1.155300964,33,0,0,0
Leandro Daniel Paredes,Argentina,3,2,1.5813709569999999,240,0,2,0
Bruno Miguel Borges Fernandes,Portugal,8,2,1.0313368613,231,3,1,0
Ferrán Torres García,Spain,4,2,1.005212115,86,0,0,0
Carlos Henrique Casimiro,Brazil,10,2,1.1432915347,258,0,1,0
Vincent Paté Aboubakar,Cameroon,6,2,0.5289856239999999,31,1,1,0
Andrej Kramarić,Croatia,10,2,1.087257213,173,0,0,0
Mohammed Kudus,Ghana,8,2,0.658570808,82,0,1,0
Niclas Füllkrug,Germany,8,2,1.688675085,25,1,0,0
Neymar da Silva Santos Junior,Brazil,12,2,2.129257917,156,0,0,0
Rafael Alexandre Conceição Leão,Portugal,5,2,0.248383942,45,0,0,0
Nikola Vlašić,Croatia,7,2,2.1955534329999997,55,0,0,0
Salem Mohammed Al Dawsari,Saudi Arabia,7,2,1.564055345,117,0,0,0
Randal Kolo Muani,France,5,2,2.050369225,36,0,0,0
Breel-Donald Embolo,Switzerland,6,2,2.391196598,66,0,0,0
Lovro Majer,Croatia,5,2,1.5922397369999999,98,0,0,0
Gue-Sung Cho,South Korea,8,2,0.71258904,60,0,1,0
Gonzalo Ariel Montiel,Argentina,3,2,1.587604363,82,0,2,0
Giorgian Daniel De Arrascaeta Benedetti,Uruguay,3,2,1.13451217,51,0,0,0
Hakim Ziyech,Morocco,11,2,1.095816526,300,1,0,0
Harry Kane,England,12,2,2.330979943,97,3,0,0
Raphaël Adelino José Guerreiro,Portugal,3,1,0.399528818,191,2,0,0
Serge Gnabry,Germany,12,1,0.728018954,113,1,0,0
Saleh Khalid Al Shehri,Saudi Arabia,3,1,0.147030338,46,0,1,0
Pedro Guilherme Abreu dos Santos,Brazil,5,1,1.215663274,15,0,0,0
Remo Freuler,Switzerland,3,1,0.54479492,149,0,0,0
Ricardo Jorge Luz Horta,Portugal,3,1,0.458795408,47,0,0,0
Romain Saïss,Morocco,1,1,0.56495196,193,0,1,0
Andreas Christensen,Denmark,2,1,0.5251976599999999,250,0,1,0
Alphonso Davies,Canada,4,1,0.928688898,114,0,1,0
Raheem Sterling,England,1,1,0.1885282,58,0,0,0
Ramin Rezaeian,Iran,2,1,0.230377999,105,0,0,0
Sergej Milinković-Savić,Serbia,3,1,0.200274783,120,0,1,0
Seung-Ho Paik,South Korea,1,1,0.023081098,24,0,0,0
Timothy Weah,United States,5,1,0.440147946,109,0,0,0
Roozbeh Cheshmi,Iran,1,1,0.03268815,14,0,0,0
Strahinja Pavlović,Serbia,2,1,0.177865885,152,0,2,0
Teun Koopmeiners,Netherlands,3,1,0.87343067,120,1,1,0
Vinícius José Paixão de Oliveira Júnior,Brazil,9,1,0.8115265530000001,91,2,0,0
Wahbi Khazri,Tunisia,5,1,0.297766004,20,0,0,0
Theo Bernard François Hernández,France,5,1,0.259309684,332,2,1,0
Young-Gwon Kim,South Korea,2,1,0.689242366,210,0,1,0
Achraf Dari,Morocco,1,1,0.4178385,107,0,1,0
Alexis Mac Allister,Argentina,7,1,0.5018383630000001,271,1,0,0
Achraf Hakimi Mouh,Morocco,5,1,0.919596872,380,1,0,0
Adrien Rabiot,France,9,1,0.728120058,285,1,1,0
Manuel Obafemi Akanji,Switzerland,4,1,0.8826694319999999,255,0,1,0
Marcelo Brozović,Croatia,5,1,1.368818893,529,0,1,0
Marco Asensio Willemsen,Spain,10,1,0.608190739,117,0,0,0
Mario Pašalić,Croatia,4,1,0.9502076909999999,93,0,0,0
Mathew Leckie,Australia,1,1,0.11353828,103,1,0,0
Marko Livaja,Croatia,7,1,1.773984791,57,1,0,0
Ao Tanaka,Japan,1,1,0.87261814,68,0,0,0
Memphis Depay,Netherlands,10,1,1.181855992,127,0,0,0
Mitchell Thomas Duke,Australia,7,1,0.254732119,68,0,1,0
Mohamed Salisu,Ghana,2,1,0.42841392,149,0,0,0
Aurélien Djani Tchouaméni,France,7,1,1.182897098,470,0,1,0
Michy Batshuayi Tunga,Belgium,6,1,0.620673121,23,0,0,0
Osman Bukari,Ghana,3,1,0.2462625047,21,0,0,0
Nahuel Molina Lucero,Argentina,2,1,0.485319467,360,1,0,0
Moisés Isaac Caicedo Corozo,Ecuador,3,1,0.653325549,154,0,1,0
Mohammed Muntari,Qatar,3,1,0.184977709,19,0,0,0
André Ayew Pelé,Ghana,2,1,1.2687446599999999,37,0,1,0
Piotr Zieliński,Poland,3,1,0.5838947800000001,153,0,0,0
Paulo Bruno Exequiel Dybala,Argentina,1,1,0.7835,13,0,0,0
Pablo Martín Páez Gavira,Spain,1,1,0.056229107,153,0,0,0
Phil Foden,England,5,1,1.22865907,57,0,0,0
Carlos Soler Barragán,Spain,5,1,1.271484056,84,0,0,0
Lautaro Javier Martínez,Argentina,15,1,2.905046753,63,0,0,0
Jude Bellingham,England,5,1,0.841256374,275,1,0,0
Keysher Fuller Spence,Costa Rica,3,1,0.31160433,61,0,0,0
Kalidou Koulibaly,Senegal,1,1,0.23427999,196,0,1,0
Boulaye Dia,Senegal,8,1,0.662240351,53,0,1,0
Lucas Tolentino Coelho de Lima,Brazil,4,1,0.704333275,202,1,0,0
Kléper Laveran Lima Ferreira,Portugal,3,1,0.33506425,295,0,0,0
Luka Modrić,Croatia,7,1,1.12735736,549,0,0,0
Luis Gerardo Chávez Magallón,Mexico,10,1,0.2156515785,144,0,0,0
Luuk de Jong,Netherlands,2,1,0.8364073399999999,11,0,0,0
Hee-Chan Hwang,South Korea,6,1,0.5679465854,57,0,0,0
Henry Josué Martín Mex,Mexico,4,1,0.6686734,22,0,0,0
Ismaïla Sarr,Senegal,10,1,1.848790219,81,0,0,0
Ivan Perišić,Croatia,16,1,0.7556302263,304,3,0,0
Jack Grealish,England,1,1,0.6262809,56,0,0,0
Jean-Charles Castelletto,Cameroon,1,1,0.8945071,78,1,0,0
Jean-Eric Maxim Choupo-Moting,Cameroon,3,1,0.5235422875,69,0,0,0
Jordan Brian Henderson,England,2,1,0.148950994,166,0,0,0
Bruno Petković,Croatia,1,1,0.09977819,80,0,0,0
Joško Gvardiol,Croatia,2,1,0.186105118,510,0,0,0
João Félix Sequeira,Portugal,11,1,0.669207472,122,2,1,0
Cheikh Ahmadou Bamba Mbacke Dieng,Senegal,4,1,0.3838931,19,0,0,0
Frenkie de Jong,Netherlands,2,1,0.720993446,364,1,1,0
Gareth Frank Bale,Wales,2,1,0.8052008399999999,55,0,1,0
Haji Wright,United States,7,1,0.658172932,27,0,0,0
Christian Pulisic,United States,9,1,1.138087093,139,2,0,0
Enzo Fernandez,Argentina,9,1,1.050628615,470,1,1,0
Famara Diedhiou,Senegal,3,1,0.238120196,14,0,0,0
Dušan Vlahović,Serbia,3,1,0.7624475099999999,13,0,0,0
Denzel Dumfries,Netherlands,2,1,0.283319202,218,2,0,0
Cristiano Ronaldo dos Santos Aveiro,Portugal,11,1,1.939259267,90,0,0,0
Craig Goodwin,Australia,2,1,0.205087522,94,0,0,0
Daley Blind,Netherlands,5,1,0.521673045,304,1,0,0
Daizen Maeda,Japan,2,1,0.53585137,18,0,0,0
Daniel Olmo Carvajal,Spain,12,1,1.0841161047,196,1,0,0
Davy Klaassen,Netherlands,2,1,0.43179539,81,2,0,0
Yeltsin Ignacio Tejeda Valverde,Costa Rica,2,1,0.522077037,98,1,0,0
İlkay Gündoğan,Germany,6,1,1.128953889,163,0,0,0
Xherdan Shaqiri,Switzerland,4,1,0.494927794,104,1,0,0
Ángel Fabián Di María Hernández,Argentina,7,1,0.53383544,164,1,0,0
Zakaria Aboukhlal,Morocco,3,1,0.5970794660000001,13,0,0,0
Abdelhamid Sabiri,Morocco,4,1,0.9068839989999999,58,1,1,0
Youssouf Fofana,France,4,0,0.16560118299999999,112,0,0,0
Aaron Mooy,Australia,1,0,0.039191317,219,0,1,0
Aaron Ramsey,Wales,1,0,0.025361432,110,0,1,0
Abdelkarim Hassan Al Haj Fadlalla,Qatar,6,0,0.27491462450000004,158,0,0,0
Youssouf Sabaly,Senegal,2,0,0.0178921875,222,0,0,0
William Silva de Carvalho,Portugal,1,0,0.048683427,165,0,0,0
Ali Albulayhi,Saudi Arabia,0,0,0.0,89,0,0,0
Ali Al Hassan,Saudi Arabia,1,0,0.10154356,8,0,1,0
Ali Abdi,Tunisia,0,0,0.0,109,0,1,0
Alexander Hartmann Bah,Denmark,2,0,0.056216941,50,0,0,0
Alexander Djiku,Ghana,0,0,0.0,27,0,0,0
Alex Sandro Lobo Silva,Brazil,1,0,0.021819543,169,0,0,0
Alex Nicolao Telles,Brazil,0,0,0.0,44,0,0,0
Alejandro Darío Gómez,Argentina,2,0,0.023071868,58,0,0,0
Alejandro Balde Martínez,Spain,1,0,0.077706024,119,0,0,0
Alan Steven Franco Palma,Ecuador,0,0,0.0,11,0,0,0
Abdessamad Ezzalzouli,Morocco,1,0,0.05950738,16,0,0,0
Óscar Esau Duarte Gaitán,Costa Rica,0,0,0.0,97,0,1,0
Éverton Augusto de Barros Ribeiro,Brazil,0,0,0.0,17,0,0,0
Érick Gabriel Gutiérrez Galaviz,Mexico,0,0,0.0,30,0,1,0
William Saliba,France,0,0,0.0,37,0,0,0
Dejan Lovren,Croatia,4,0,0.381529793,454,1,1,0
Declan Rice,England,0,0,0.0,327,0,0,0
DeAndre Yedlin,United States,0,0,0.0,30,0,0,0
Dayotchanculle Upamecano,France,0,0,0.0,345,0,0,0
David Wallace Wotherspoon,Canada,0,0,0.0,6,0,0,0
David Raum,Germany,0,0,0.0,193,1,0,0
David Junior Hoilett,Canada,4,0,0.11914880800000001,55,0,1,0
Darwin Gabriel Núñez Ribeiro,Uruguay,3,0,0.21691335099999998,54,0,0,0
Darko Lazović,Serbia,1,0,0.018288644,11,0,0,0
Danilo Luís Hélio Pereira,Portugal,0,0,0.0,80,0,1,0
Danilo Luiz da Silva,Brazil,2,0,0.0323683795,267,0,1,0
Daniel-Kofi Kyereh,Ghana,0,0,0.0,24,0,0,0
Daniel Ward,Wales,0,0,0.0,39,0,0,0
Yassine Meriah,Tunisia,1,0,0.046073906,168,0,0,0
Yassine Bounou,Morocco,0,0,0.0,210,0,0,0
Yasir Gharsan Al Shahrani,Saudi Arabia,0,0,0.0,26,0,0,0
Diego Nicolás De La Cruz Arcosa,Uruguay,1,0,0.0429242,24,0,0,0
Devis Rogers Epassy Mboka,Cameroon,0,0,0.0,84,0,0,0
Denis Odoi,Ghana,0,0,0.0,2,0,0,0
