team,total_goals,total_shots,total_xg,total_passes,total_assists,total_yellow_cards,total_red_cards,top_scorer_goals,top_scorer_xg,squad_size
Argentina,23,110,20.988442916,4615,8,11,0,9,7.598649225,24
France,18,106,14.955858183,3926,12,7,0,9,5.016751877,24
Croatia,15,87,13.1697023989,4511,8,5,0,2,2.1955534329999997,20
England,13,63,8.735856199,3238,9,1,0,3,2.330979943,21
Netherlands,13,48,8.91128704,3005,8,4,0,3,1.181855992,21
Portugal,12,66,7.3127104283,3129,9,5,0,3,1.939259267,24
Brazil,10,99,13.6365929812,3196,5,6,0,3,2.129257917,26
Morocco,9,66,8.678369942,2865,4,6,1,2,1.095816526,25
Spain,9,51,7.1046272574,3914,5,2,0,3,1.271484056,21
Japan,6,48,7.3835705140000005,1748,3,6,0,2,1.279548737,22
Germany,6,68,8.2310779317,1963,4,3,0,2,1.688675085,20
Switzerland,5,37,6.090516355,2035,4,8,0,2,2.391196598,24
Senegal,5,50,4.2747284715000005,1696,2,7,0,1,1.848790219,20
Serbia,5,32,3.090397962,1503,4,7,0,2,1.501642214,22
South Korea,5,48,3.6045950894,2011,3,5,0,2,0.71258904,20
Ghana,5,25,3.3532532787,1248,1,7,0,2,1.2687446599999999,19
Ecuador,4,30,3.8067283904,1447,1,3,0,3,1.924592276,18
Iran,4,33,3.8304064883,1125,2,5,0,2,1.37814372,21
Cameroon,4,28,3.0667434502,1261,3,6,0,2,0.8945071,22
United States,3,46,3.9385379416,2201,3,5,0,1,1.138087093,20
Australia,3,26,1.5781715056999999,1707,2,7,0,1,0.33239220599999997,20
Saudi Arabia,3,30,3.201549268,1190,2,9,0,2,1.564055345,23
Poland,3,31,4.663221082,1524,1,7,0,2,3.125917802,21
Costa Rica,2,11,1.2341124509999999,1094,1,6,0,1,0.522077037,22
Uruguay,2,33,3.2705338565999997,1477,1,3,0,2,1.13451217,19
Mexico,2,41,3.057649911,1435,1,7,0,1,0.6920090567,21
Belgium,1,35,3.6944930278,1867,1,5,0,1,1.68415473,20
Canada,1,35,3.928625529,1571,1,7,0,1,0.928688898,19
Denmark,1,35,3.1922572320000002,1928,0,5,0,1,0.801507865,20
Qatar,1,20,1.4079916985,1406,1,7,0,1,0.483816448,20
Tunisia,1,32,2.410452449,1326,1,5,0,1,0.642520471,21
Wales,1,24,2.218980701,1353,0,5,1,1,0.8052008399999999,18
